dataset_id,language,category,source_type,valid,text,notes
python_code_1,Python,code,organic,True,"def add(a, b):
    return a + b


print(add(2, 3))
",Python code sample generated for ML training; Assembly and Binary are included per language.
python_code_2,Python,code,synthetic,True,"def normalize(value):
    return max(0, min(value, 100))


print(normalize(42))
",Python code sample generated for ML training; Assembly and Binary are included per language.
python_assembly_3,Python,assembly,synthetic,True,"section .text
    global _start
_start:
    mov eax, 1
    mov ebx, 42
    int 0x80
",Python assembly sample generated for ML training; Assembly and Binary are included per language.
python_binary_4,Python,binary,synthetic,True,31 c0 31 db b0 01 40 89 c3 80 3d 2a 00 00 00 00 0f 05,Python binary sample generated for ML training; Assembly and Binary are included per language.
javascript_code_5,JavaScript,code,organic,True,"const total = items.reduce((sum, item) => sum + item.price, 0);
console.log('Total:', total);
",JavaScript code sample generated for ML training; Assembly and Binary are included per language.
javascript_code_6,JavaScript,code,synthetic,True,"function formatAmount(value) {
  return new Intl.NumberFormat('en-US', { style: 'currency', currency: 'USD' }).format(value);
}
console.log(formatAmount(42.5));
",JavaScript code sample generated for ML training; Assembly and Binary are included per language.
javascript_assembly_7,JavaScript,assembly,synthetic,True,"section .text
    global _start
_start:
    mov rax, 60
    mov rdi, 0
    syscall
",JavaScript assembly sample generated for ML training; Assembly and Binary are included per language.
javascript_binary_8,JavaScript,binary,synthetic,True,48 83 ec 08 48 89 5c 24 08 48 89 74 24 10 48 8b 5c 24 08 48 83 c4 08 c3,JavaScript binary sample generated for ML training; Assembly and Binary are included per language.
java_code_9,Java,code,organic,True,"public class Main {
    public static void main(String[] args) {
        int total = 0;
        for (int i = 1; i <= 5; i++) total += i;
        System.out.println(total);
    }
}
",Java code sample generated for ML training; Assembly and Binary are included per language.
java_code_10,Java,code,synthetic,True,"public class TaxCalculator {
    public static double applyVAT(double amount, double taxRate) {
        return amount * (1 + taxRate);
    }
}
",Java code sample generated for ML training; Assembly and Binary are included per language.
java_assembly_11,Java,assembly,synthetic,True,"section .text
    global main
main:
    mov eax, 1
    xor ebx, ebx
    int 0x80
",Java assembly sample generated for ML training; Assembly and Binary are included per language.
java_binary_12,Java,binary,synthetic,True,55 48 89 e5 48 83 ec 10 89 7d fc 8b 45 fc 83 c0 01 89 45 fc eb e7 8b 45 fc 5d c3,Java binary sample generated for ML training; Assembly and Binary are included per language.
