dataset_id,language,category,source_type,valid,difficulty,labels,text,notes
python_project_cli_v1,Python,project_cli,synthetic,True,core,"[""project_training"", ""python"", ""project_cli"", ""llm_learning""]","def main():
    values = [12, 18, 21, 9, 31]
    total = sum(values)
    avg = total / len(values)
    print(f'Total: {total}')
    print(f'Average: {avg:.2f}')

if __name__ == '__main__':
    main()
",Python project_cli v1 sample built for end-to-end LLM training and project generation.
python_project_cli_v2,Python,project_cli,synthetic,True,core,"[""project_training"", ""python"", ""project_cli"", ""llm_learning""]","def main():
    values = [12, 18, 21, 9, 31]
    total = sum(values)
    avg = total / len(values)
    print(f'Total: {total}')
    print(f'Average: {avg:.2f}')

if __name__ == '__main__':
    main()
",Python project_cli v2 sample built for end-to-end LLM training and project generation.
python_project_parser_v1,Python,project_parser,organic,True,core,"[""project_training"", ""python"", ""project_parser"", ""llm_learning""]","import csv

with open('input.csv', newline='', encoding='utf-8') as fh:
    rows = list(csv.DictReader(fh))

revenue = sum(float(r['amount']) for r in rows)
print(f'Revenue: {revenue:.2f}')
",Python project_parser v1 sample built for end-to-end LLM training and project generation.
python_project_parser_v2,Python,project_parser,organic,True,core,"[""project_training"", ""python"", ""project_parser"", ""llm_learning""]","import csv

with open('input.csv', newline='', encoding='utf-8') as fh:
    rows = list(csv.DictReader(fh))

revenue = sum(float(r['amount']) for r in rows)
print(f'Revenue: {revenue:.2f}')
",Python project_parser v2 sample built for end-to-end LLM training and project generation.
python_project_data_pipeline_v1,Python,project_data_pipeline,organic,True,core,"[""project_training"", ""python"", ""project_data_pipeline"", ""llm_learning""]","def transform(rows):
    return [int(value) for value in rows if value.strip() not in {'', 'NA'}]

raw = ['1', '2', '', 'NA', '7']
print(transform(raw))
",Python project_data_pipeline v1 sample built for end-to-end LLM training and project generation.
python_project_data_pipeline_v2,Python,project_data_pipeline,organic,True,core,"[""project_training"", ""python"", ""project_data_pipeline"", ""llm_learning""]","def transform(rows):
    return [int(value) for value in rows if value.strip() not in {'', 'NA'}]

raw = ['1', '2', '', 'NA', '7']
print(transform(raw))
",Python project_data_pipeline v2 sample built for end-to-end LLM training and project generation.
python_project_api_v1,Python,project_api,synthetic,True,core,"[""project_training"", ""python"", ""project_api"", ""llm_learning""]","from fastapi import FastAPI

app = FastAPI()

@app.get('/health')
def health():
    return {'status': 'ok'}
",Python project_api v1 sample built for end-to-end LLM training and project generation.
python_project_api_v2,Python,project_api,synthetic,True,core,"[""project_training"", ""python"", ""project_api"", ""llm_learning""]","from fastapi import FastAPI

app = FastAPI()

@app.get('/health')
def health():
    return {'status': 'ok'}
",Python project_api v2 sample built for end-to-end LLM training and project generation.
python_project_http_service_v1,Python,project_http_service,synthetic,True,core,"[""project_training"", ""python"", ""project_http_service"", ""llm_learning""]","from flask import Flask
app = Flask(__name__)

@app.get('/ping')
def ping():
    return {'message': 'pong'}
",Python project_http_service v1 sample built for end-to-end LLM training and project generation.
python_project_http_service_v2,Python,project_http_service,synthetic,True,core,"[""project_training"", ""python"", ""project_http_service"", ""llm_learning""]","from flask import Flask
app = Flask(__name__)

@app.get('/ping')
def ping():
    return {'message': 'pong'}
",Python project_http_service v2 sample built for end-to-end LLM training and project generation.
python_project_file_system_v1,Python,project_file_system,organic,True,core,"[""project_training"", ""python"", ""project_file_system"", ""llm_learning""]","import os

for name in os.listdir('.'):
    if name.endswith('.py'):
        print(name)
",Python project_file_system v1 sample built for end-to-end LLM training and project generation.
python_project_file_system_v2,Python,project_file_system,organic,True,core,"[""project_training"", ""python"", ""project_file_system"", ""llm_learning""]","import os

for name in os.listdir('.'):
    if name.endswith('.py'):
        print(name)
",Python project_file_system v2 sample built for end-to-end LLM training and project generation.
python_project_database_v1,Python,project_database,organic,True,core,"[""project_training"", ""python"", ""project_database"", ""llm_learning""]","import sqlite3

conn = sqlite3.connect('app.db')
c = conn.cursor()
c.execute('CREATE TABLE IF NOT EXISTS users (id INTEGER PRIMARY KEY, name TEXT)')
conn.commit()
",Python project_database v1 sample built for end-to-end LLM training and project generation.
python_project_database_v2,Python,project_database,organic,True,core,"[""project_training"", ""python"", ""project_database"", ""llm_learning""]","import sqlite3

conn = sqlite3.connect('app.db')
c = conn.cursor()
c.execute('CREATE TABLE IF NOT EXISTS users (id INTEGER PRIMARY KEY, name TEXT)')
conn.commit()
",Python project_database v2 sample built for end-to-end LLM training and project generation.
python_project_scheduler_v1,Python,project_scheduler,synthetic,True,core,"[""project_training"", ""python"", ""project_scheduler"", ""llm_learning""]","import schedule

# Example job definition for training purposes
schedule.every(5).minutes.do(lambda: print('tick'))
",Python project_scheduler v1 sample built for end-to-end LLM training and project generation.
python_project_scheduler_v2,Python,project_scheduler,synthetic,True,core,"[""project_training"", ""python"", ""project_scheduler"", ""llm_learning""]","import schedule

# Example job definition for training purposes
schedule.every(5).minutes.do(lambda: print('tick'))
",Python project_scheduler v2 sample built for end-to-end LLM training and project generation.
python_memory_v1,Python,memory,synthetic,True,low_level,"[""project_training"", ""python"", ""memory"", ""llm_learning""]","def copy_buffer(src, dst):
    for i in range(len(src)):
        dst[i] = src[i]
    return dst
",Python memory v1 sample built for end-to-end LLM training and project generation.
python_memory_v2,Python,memory,synthetic,True,low_level,"[""project_training"", ""python"", ""memory"", ""llm_learning""]","def copy_buffer(src, dst):
    for i in range(len(src)):
        dst[i] = src[i]
    return dst
",Python memory v2 sample built for end-to-end LLM training and project generation.
