dataset_id,language,category,source_type,valid,difficulty,labels,text,notes
python_high_level_1,Python,high_level,organic,True,core,"[""language_identification"", ""high_level"", ""low_level_training""]","def read_and_sum(path):
    with open(path, 'r', encoding='utf-8') as fh:
        return sum(int(line.strip()) for line in fh if line.strip())

print(read_and_sum('numbers.txt'))
","Python high_level training sample designed for code understanding, execution semantics, and low-level model learning."
python_memory_2,Python,memory,synthetic,True,low_level,"[""language_identification"", ""memory"", ""low_level_training""]","def copy_buffer(src, dst):
    for i in range(len(src)):
        dst[i] = src[i]
    return dst
","Python memory training sample designed for code understanding, execution semantics, and low-level model learning."
python_syscall_3,Python,syscall,synthetic,True,low_level,"[""language_identification"", ""syscall"", ""low_level_training""]","import os

def write_pid_file():
    with open('/tmp/pid.txt', 'w', encoding='utf-8') as fh:
        fh.write(str(os.getpid()))
","Python syscall training sample designed for code understanding, execution semantics, and low-level model learning."
python_assembly_4,Python,assembly,synthetic,True,low_level,"[""language_identification"", ""assembly"", ""low_level_training""]","section .text
    global _start
_start:
    mov eax, 1
    xor ebx, ebx
    int 0x80
","Python assembly training sample designed for code understanding, execution semantics, and low-level model learning."
python_binary_5,Python,binary,synthetic,True,low_level,"[""language_identification"", ""binary"", ""low_level_training""]",b8 01 00 00 00 bb 00 00 00 00 cd 80,"Python binary training sample designed for code understanding, execution semantics, and low-level model learning."
javascript_high_level_6,JavaScript,high_level,organic,True,core,"[""language_identification"", ""high_level"", ""low_level_training""]","const fs = require('fs');
const data = fs.readFileSync('config.json', 'utf8');
const config = JSON.parse(data);
console.log(config.port);
","JavaScript high_level training sample designed for code understanding, execution semantics, and low-level model learning."
javascript_memory_7,JavaScript,memory,synthetic,True,low_level,"[""language_identification"", ""memory"", ""low_level_training""]","function copyBytes(src, dst) {
  for (let i = 0; i < src.length; i++) dst[i] = src[i];
  return dst;
}
","JavaScript memory training sample designed for code understanding, execution semantics, and low-level model learning."
javascript_syscall_8,JavaScript,syscall,synthetic,True,low_level,"[""language_identification"", ""syscall"", ""low_level_training""]","const fs = require('fs');
fs.writeFileSync('/tmp/pid.txt', String(process.pid));
","JavaScript syscall training sample designed for code understanding, execution semantics, and low-level model learning."
javascript_assembly_9,JavaScript,assembly,synthetic,True,low_level,"[""language_identification"", ""assembly"", ""low_level_training""]","section .text
    global _start
_start:
    mov rax, 60
    xor rdi, rdi
    syscall
","JavaScript assembly training sample designed for code understanding, execution semantics, and low-level model learning."
javascript_binary_10,JavaScript,binary,synthetic,True,low_level,"[""language_identification"", ""binary"", ""low_level_training""]",48 31 c0 48 31 ff 48 c7 c0 3c 00 00 00 0f 05,"JavaScript binary training sample designed for code understanding, execution semantics, and low-level model learning."
java_high_level_11,Java,high_level,organic,True,core,"[""language_identification"", ""high_level"", ""low_level_training""]","import java.nio.file.*;

public class FileReaderDemo {
    public static void main(String[] args) throws Exception {
        String text = Files.readString(Path.of(""input.txt""));
        System.out.println(text.length());
    }
}
","Java high_level training sample designed for code understanding, execution semantics, and low-level model learning."
java_memory_12,Java,memory,synthetic,True,low_level,"[""language_identification"", ""memory"", ""low_level_training""]","public class BufferCopy {
    static void copy(byte[] src, byte[] dst) {
        System.arraycopy(src, 0, dst, 0, src.length);
    }
}
","Java memory training sample designed for code understanding, execution semantics, and low-level model learning."
java_syscall_13,Java,syscall,synthetic,True,low_level,"[""language_identification"", ""syscall"", ""low_level_training""]","import java.io.*;

public class PidWriter {
    public static void main(String[] args) throws Exception {
        new FileWriter(""/tmp/pid.txt"").write(String.valueOf(ProcessHandle.current().pid()));
    }
}
","Java syscall training sample designed for code understanding, execution semantics, and low-level model learning."
java_assembly_14,Java,assembly,synthetic,True,low_level,"[""language_identification"", ""assembly"", ""low_level_training""]","section .text
    global main
main:
    mov eax, 1
    xor ebx, ebx
    int 0x80
","Java assembly training sample designed for code understanding, execution semantics, and low-level model learning."
java_binary_15,Java,binary,synthetic,True,low_level,"[""language_identification"", ""binary"", ""low_level_training""]",55 48 89 e5 48 83 ec 10 89 7d fc 8b 45 fc 83 c0 01 89 45 fc eb e7 8b 45 fc 5d c3,"Java binary training sample designed for code understanding, execution semantics, and low-level model learning."
