dataset_id,language,category,source_type,valid,difficulty,labels,text,notes
python_project_cli_1,Python,project_cli,synthetic,True,core,"[""code_generation"", ""project_building"", ""python"", ""project_cli""]","def main():
    items = [12, 18, 21, 9, 31]
    total = sum(items)
    avg = total / len(items)
    print(f'Total: {total}')
    print(f'Average: {avg:.2f}')

if __name__ == '__main__':
    main()
","Python project_cli sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_project_parser_2,Python,project_parser,synthetic,True,core,"[""code_generation"", ""project_building"", ""python"", ""project_parser""]","import csv

with open('sales.csv', newline='', encoding='utf-8') as fh:
    rows = list(csv.DictReader(fh))

revenue = sum(float(r['amount']) for r in rows)
print(f'Revenue: {revenue:.2f}')
","Python project_parser sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_project_data_pipeline_3,Python,project_data_pipeline,synthetic,True,core,"[""code_generation"", ""project_building"", ""python"", ""project_data_pipeline""]","def clean_values(values):
    return [int(v) for v in values if v.strip() not in {'', 'NA'}]

raw = ['1', '2', '', 'NA', '7']
print(clean_values(raw))
","Python project_data_pipeline sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_project_api_4,Python,project_api,synthetic,True,core,"[""code_generation"", ""project_building"", ""python"", ""project_api""]","from fastapi import FastAPI

app = FastAPI()

@app.get('/health')
def health():
    return {'status': 'ok'}
","Python project_api sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_project_system_tool_5,Python,project_system_tool,synthetic,True,core,"[""code_generation"", ""project_building"", ""python"", ""project_system_tool""]","import os

for name in os.listdir('.'):
    if name.endswith('.py'):
        print(name)
","Python project_system_tool sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_memory_6,Python,memory,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""python"", ""memory""]","def copy_buffer(src, dst):
    for i in range(len(src)):
        dst[i] = src[i]
    return dst
","Python memory sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_syscall_7,Python,syscall,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""python"", ""syscall""]","import os

with open('/tmp/pid.txt', 'w', encoding='utf-8') as fh:
    fh.write(str(os.getpid()))
","Python syscall sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_assembly_8,Python,assembly,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""python"", ""assembly""]","section .text
    global _start
_start:
    mov eax, 1
    xor ebx, ebx
    int 0x80
","Python assembly sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_binary_9,Python,binary,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""python"", ""binary""]",31 c0 31 db b0 01 40 89 c3 80 3d 2a 00 00 00 00 0f 05,"Python binary sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
python_organic_high_level_10,Python,organic_high_level,organic,True,core,"[""code_generation"", ""project_building"", ""python"", ""organic_high_level""]","def read_and_sum(path):
    with open(path, 'r', encoding='utf-8') as fh:
        return sum(int(line.strip()) for line in fh if line.strip())

print(read_and_sum('numbers.txt'))
","Python organic_high_level sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_project_cli_1,JavaScript,project_cli,synthetic,True,core,"[""code_generation"", ""project_building"", ""javascript"", ""project_cli""]","const items = [12, 18, 21, 9, 31];
const total = items.reduce((sum, v) => sum + v, 0);
console.log('Total:', total);
console.log('Average:', (total / items.length).toFixed(2));
","JavaScript project_cli sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_project_parser_2,JavaScript,project_parser,synthetic,True,core,"[""code_generation"", ""project_building"", ""javascript"", ""project_parser""]","const fs = require('fs');
const rows = fs.readFileSync('sales.csv', 'utf8').trim().split('
').slice(1);
const revenue = rows.reduce((sum, row) => sum + Number(row.split(',')[1] || 0), 0);
console.log('Revenue:', revenue.toFixed(2));
","JavaScript project_parser sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_project_data_pipeline_3,JavaScript,project_data_pipeline,synthetic,True,core,"[""code_generation"", ""project_building"", ""javascript"", ""project_data_pipeline""]","const raw = ['1', '2', '', 'NA', '7'];
const clean = raw.filter(v => v && v !== 'NA').map(Number);
console.log(clean);
","JavaScript project_data_pipeline sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_project_api_4,JavaScript,project_api,synthetic,True,core,"[""code_generation"", ""project_building"", ""javascript"", ""project_api""]","const express = require('express');
const app = express();
app.get('/health', (_, res) => res.json({ status: 'ok' }));
app.listen(3000);
","JavaScript project_api sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_project_system_tool_5,JavaScript,project_system_tool,synthetic,True,core,"[""code_generation"", ""project_building"", ""javascript"", ""project_system_tool""]","const fs = require('fs');
for (const name of fs.readdirSync('.')) {
  if (name.endsWith('.js')) console.log(name);
}
","JavaScript project_system_tool sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_memory_6,JavaScript,memory,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""javascript"", ""memory""]","function copyBytes(src, dst) {
  for (let i = 0; i < src.length; i++) dst[i] = src[i];
  return dst;
}
","JavaScript memory sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_syscall_7,JavaScript,syscall,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""javascript"", ""syscall""]","const fs = require('fs');
fs.writeFileSync('/tmp/pid.txt', String(process.pid));
","JavaScript syscall sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_assembly_8,JavaScript,assembly,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""javascript"", ""assembly""]","section .text
    global _start
_start:
    mov rax, 60
    xor rdi, rdi
    syscall
","JavaScript assembly sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_binary_9,JavaScript,binary,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""javascript"", ""binary""]",48 83 ec 08 48 89 5c 24 08 48 89 74 24 10 48 8b 5c 24 08 48 83 c4 08 c3,"JavaScript binary sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
javascript_organic_high_level_10,JavaScript,organic_high_level,organic,True,core,"[""code_generation"", ""project_building"", ""javascript"", ""organic_high_level""]","const fs = require('fs');
const data = fs.readFileSync('config.json', 'utf8');
const config = JSON.parse(data);
console.log(config.port);
","JavaScript organic_high_level sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_project_cli_1,Java,project_cli,synthetic,True,core,"[""code_generation"", ""project_building"", ""java"", ""project_cli""]","public class Main {
    public static void main(String[] args) {
        int[] items = {12, 18, 21, 9, 31};
        int total = 0;
        for (int value : items) total += value;
        System.out.println(""Total: "" + total);
        System.out.println(""Average: "" + (total / (double) items.length));
    }
}
","Java project_cli sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_project_parser_2,Java,project_parser,synthetic,True,core,"[""code_generation"", ""project_building"", ""java"", ""project_parser""]","import java.nio.file.*;
public class Main {
    public static void main(String[] args) throws Exception {
        var text = Files.readString(Path.of(""sales.csv""));
        System.out.println(""Lines: "" + text.lines().count());
    }
}
","Java project_parser sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_project_data_pipeline_3,Java,project_data_pipeline,synthetic,True,core,"[""code_generation"", ""project_building"", ""java"", ""project_data_pipeline""]","public class Main {
    public static void main(String[] args) {
        String[] raw = {""1"", ""2"", """", ""NA"", ""7""};
        int count = 0;
        for (String value : raw) if (value != null && !value.isBlank() && !value.equals(""NA"")) count++;
        System.out.println(count);
    }
}
","Java project_data_pipeline sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_project_api_4,Java,project_api,synthetic,True,core,"[""code_generation"", ""project_building"", ""java"", ""project_api""]","public class Main {
    public static void main(String[] args) {
        System.out.println(""API stub ready"");
    }
}
","Java project_api sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_project_system_tool_5,Java,project_system_tool,synthetic,True,core,"[""code_generation"", ""project_building"", ""java"", ""project_system_tool""]","import java.io.*;
public class Main {
    public static void main(String[] args) throws Exception {
        var dir = new File(""."");
        for (String name : dir.list()) if (name.endsWith("".java"")) System.out.println(name);
    }
}
","Java project_system_tool sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_memory_6,Java,memory,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""java"", ""memory""]","public class BufferCopy {
    static void copy(byte[] src, byte[] dst) {
        System.arraycopy(src, 0, dst, 0, src.length);
    }
}
","Java memory sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_syscall_7,Java,syscall,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""java"", ""syscall""]","import java.io.*;
public class Main {
    public static void main(String[] args) throws Exception {
        new FileWriter(""/tmp/pid.txt"").write(String.valueOf(java.lang.ProcessHandle.current().pid()));
    }
}
","Java syscall sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_assembly_8,Java,assembly,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""java"", ""assembly""]","section .text
    global main
main:
    mov eax, 1
    xor ebx, ebx
    int 0x80
","Java assembly sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
java_binary_9,Java,binary,synthetic,True,low_level,"[""code_generation"", ""project_building"", ""java"", ""binary""]",55 48 89 e5 48 83 ec 10 89 7d fc 8b 45 fc 83 c0 01 89 45 fc eb e7 8b 45 fc 5d c3,"Java binary sample for end-to-end LLM training, including realistic project-building patterns and low-level understanding."
